"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Unit Price Total Measure","Unit Price Total Measure Unit","Unit Price Base Measure","Unit Price Base Measure Unit","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Activewear clothing features (product.metafields.shopify.activewear-clothing-features)","Activity (product.metafields.shopify.activity)","Clothing features (product.metafields.shopify.clothing-features)","Color (product.metafields.shopify.color-pattern)","Fabric (product.metafields.shopify.fabric)","Fit (product.metafields.shopify.fit)","Headwear features (product.metafields.shopify.headwear-features)","Neckline (product.metafields.shopify.neckline)","Pants length type (product.metafields.shopify.pants-length-type)","Size (product.metafields.shopify.size)","Sleeve length type (product.metafields.shopify.sleeve-length-type)","Target gender (product.metafields.shopify.target-gender)","Top length type (product.metafields.shopify.top-length-type)","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Status"
"og-alcatraz-bottoms-grey-by-corteiz","Og Alcatraz Bottoms Grey by Corteiz","The OG Alcatraz Bottoms in Grey by Corteiz deliver bold streetwear style with premium comfort. Crafted from quality fabric, these joggers feature a relaxed fit and signature","Corteiz","Apparel & Accessories > Clothing > Pants > Joggers","joggers","black sweatpants, corteiz black sweatpants, corteiz sweatpants, grey sweatpants, sweatpants, white sweatpants","true","Size","s","product.metafields.shopify.size","","","","","","","","500.0","","0","deny","manual","118.00","199.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/Corteiz-Og-Alcatraz-Bottoms-Grey-2.png?v=1786387711","1","","false","Og Alcatraz Bottoms Grey by Corteiz Buy Now","","","","","","","","","","","s; m; l; xl; 2xl","","","","","kg","","","active"
"og-alcatraz-bottoms-grey-by-corteiz","","","","","","","","","m","","","","","","","","","500.0","","0","deny","manual","118.00","199.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"og-alcatraz-bottoms-grey-by-corteiz","","","","","","","","","l","","","","","","","","","500.0","","0","deny","manual","118.00","199.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"og-alcatraz-bottoms-grey-by-corteiz","","","","","","","","","xl","","","","","","","","","500.0","","0","deny","manual","118.00","199.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"og-alcatraz-bottoms-grey-by-corteiz","","","","","","","","","2xl","","","","","","","","","500.0","","0","deny","manual","118.00","199.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"dropout-joggers-green-by-corteiz","Dropout Joggers Green by Corteiz","Elevate your casual wardrobe with the Dropout Joggers in Green by Corteiz. Crafted for comfort and style, these joggers feature a relaxed fit that works perfectly for everyday wear, gym sessions, or laid-back hangouts. The premium fabric offers breathability and durability, while the sleek green colorway pairs effortlessly with any outfit. Complete with functional pockets and an adjustable drawstring waist, these joggers deliver both practicality and contemporary design. A must-have staple for anyone seeking quality basics with an edge.","Corteiz","Apparel & Accessories > Clothing > Activewear > Activewear Pants > Joggers","joggers","black sweatpants, corteiz black sweatpants, corteiz sweatpants, grey sweatpants, sweatpants, white sweatpants","true","Size","2xl","product.metafields.shopify.size","","","","","","","","200.0","","0","deny","manual","120.00","211.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/Corteiz-Dropout-Joggers-Green-2.png?v=1786387638","1","","false","Dropout Joggers Green by Corteiz Buy Now","","adjustable-waistband","universal","","green","","","","","long","2xl; xl; l; m; s","","","","","kg","","","active"
"dropout-joggers-green-by-corteiz","","","","","","","","","xl","","","","","","","","","200.0","","0","deny","manual","120.00","211.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"dropout-joggers-green-by-corteiz","","","","","","","","","l","","","","","","","","","200.0","","0","deny","manual","120.00","211.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"dropout-joggers-green-by-corteiz","","","","","","","","","m","","","","","","","","","200.0","","0","deny","manual","120.00","211.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"dropout-joggers-green-by-corteiz","","","","","","","","","s","","","","","","","","","200.0","","0","deny","manual","120.00","211.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"crtz-dropout-joggers-navy-by-corteiz","Crtz Dropout Joggers Navy by Corteiz","Crtz Dropout Joggers in Navy deliver comfort and style for everyday wear. Crafted by Corteiz, these joggers feature a relaxed fit with tapered ankles and a soft fabric blend that moves with you. Perfect for casual outings, lounging, or layering into your streetwear rotation. The navy color","Corteiz","Apparel & Accessories > Clothing > Baby & Children's Clothing > Baby & Children's Bottoms > Joggers","joggers","black sweatpants, corteiz black sweatpants, corteiz sweatpants, grey sweatpants, sweatpants, white sweatpants","true","Size","2xl","product.metafields.shopify.size","","","","","","","","500.0","","0","deny","manual","119.00","222.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/Corteiz-Crtz-Dropout-Joggers-Navy.png?v=1786387454","1","","false","Crtz Dropout Joggers Navy by Corteiz Buy Now","","","","","","","","","","","2xl; xl; l; m; s","","","","","kg","","","active"
"crtz-dropout-joggers-navy-by-corteiz","","","","","","","","","xl","","","","","","","","","500.0","","0","deny","manual","119.00","222.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"crtz-dropout-joggers-navy-by-corteiz","","","","","","","","","l","","","","","","","","","500.0","","0","deny","manual","119.00","222.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"crtz-dropout-joggers-navy-by-corteiz","","","","","","","","","m","","","","","","","","","500.0","","0","deny","manual","119.00","222.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"crtz-dropout-joggers-navy-by-corteiz","","","","","","","","","s","","","","","","","","","500.0","","0","deny","manual","119.00","222.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"big-logo-joggers-black-by-corteiz","Big Logo Joggers Black by Corteiz","Elevate your casual wardrobe with the Big Logo Joggers Black by Corteiz. Crafted from premium comfort fabric, these joggers feature the iconic Corteiz logo prominently displayed across the chest, making a bold statement. The relaxed fit and tapered ankles provide the perfect balance of style and functionality","Corteiz","Apparel & Accessories > Clothing > Activewear > Activewear Pants > Joggers","joggers","corteiz black sweatpants, corteiz sweatpants, sweatpants","true","Size","s","product.metafields.shopify.size","","","","","","","","0.0","","0","deny","manual","120.00","200.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/Corteiz-Big-Logo-Joggers-Black-2.png?v=1786387385","1","","false","Big Logo Joggers Black by Corteiz Shop Now","","","","","black","","tapered-leg","","","long","s; m; xl; l; 2xl","","","","","kg","","","active"
"big-logo-joggers-black-by-corteiz","","","","","","","","","m","","","","","","","","","0.0","","0","deny","manual","120.00","200.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"big-logo-joggers-black-by-corteiz","","","","","","","","","xl","","","","","","","","","0.0","","0","deny","manual","120.00","200.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"big-logo-joggers-black-by-corteiz","","","","","","","","","l","","","","","","","","","0.0","","0","deny","manual","120.00","200.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"big-logo-joggers-black-by-corteiz","","","","","","","","","2xl","","","","","","","","","0.0","","0","deny","manual","120.00","200.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"all-over-print-joggers-black-by-corteiz","All Over Print Joggers Black by Corteiz","Elevate your casual wardrobe with these All Over Print Joggers from Corteiz. Featuring a bold, eye-catching all-over print design in classic black, these joggers blend street style with comfort. The relaxed fit and soft fabric make them perfect for everyday wear, whether you're heading out or staying in. Designed for those who appreciate","Corteiz","Apparel & Accessories > Clothing > Activewear > Activewear Pants > Joggers","joggers","black sweatpants, corteiz sweatpants, sweatpants","true","Size","s","product.metafields.shopify.size","","","","","","","","500.0","","0","deny","manual","116.00","","true","true","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/Corteiz-All-Over-Print-Joggers-Black-2.png?v=1786387192","1","","false","All Over Print Joggers Black by Corteiz Buy now","","","","","black","","","","","long","s; m; l; xl; 2xl","","","","","kg","","","active"
"all-over-print-joggers-black-by-corteiz","","","","","","","","","m","","","","","","","","","500.0","","0","deny","manual","116.00","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"all-over-print-joggers-black-by-corteiz","","","","","","","","","l","","","","","","","","","500.0","","0","deny","manual","116.00","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"all-over-print-joggers-black-by-corteiz","","","","","","","","","xl","","","","","","","","","500.0","","0","deny","manual","116.00","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"all-over-print-joggers-black-by-corteiz","","","","","","","","","2xl","","","","","","","","","500.0","","0","deny","manual","116.00","","true","true","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"4starz-alcatraz-sweatpants-white-by-corteiz","4Starz Alcatraz Sweatpants White by Corteiz","Premium streetwear staple from Corteiz's 4Starz collection. These Alcatraz sweatpants in crisp white deliver comfort and style with a contemporary silhouette. Crafted for everyday wear, they feature quality construction and a clean aesthetic that pairs effortlessly with any casual outfit. Perfect for those who appreciate authentic street culture and elevated basics.","My Store 3","Apparel & Accessories > Clothing > Activewear > Activewear Pants > Sweatpants","joggers","black sweatpants, corteiz sweatpants, grey sweatpants, sweatpants, white sweatpants","true","Size","s","product.metafields.shopify.size","","","","","","","","500.0","","0","deny","manual","117.00","199.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/Corteiz-4Starz-Alcatraz-Sweatpants-White-2.png?v=1786386945","1","","false","4Starz Alcatraz Sweatpants White by Corteiz Buy Now","","","","","white","","","","","long","s; m; l; xl; 2xl","","","","","kg","","","active"
"4starz-alcatraz-sweatpants-white-by-corteiz","","","","","","","","","m","","","","","","","","","500.0","","0","deny","manual","117.00","199.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"4starz-alcatraz-sweatpants-white-by-corteiz","","","","","","","","","l","","","","","","","","","500.0","","0","deny","manual","117.00","199.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"4starz-alcatraz-sweatpants-white-by-corteiz","","","","","","","","","xl","","","","","","","","","500.0","","0","deny","manual","117.00","199.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"4starz-alcatraz-sweatpants-white-by-corteiz","","","","","","","","","2xl","","","","","","","","","500.0","","0","deny","manual","117.00","199.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"4starz-alcatraz-sweatpants-black-by-corteiz","4Starz Alcatraz Sweatpants Black by Corteiz","Premium streetwear crafted for style and comfort. The 4Starz Alcatraz Sweatpants in classic black deliver a bold silhouette with quality","Corteiz","Apparel & Accessories > Clothing > Activewear > Activewear Pants > Sweatpants","joggers","black sweatpants, corteiz sweatpants, grey sweatpants, sweatpants, white sweatpants","true","Size","l","product.metafields.shopify.size","","","","","","","","500.0","","0","deny","manual","115.00","180.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/Corteiz-4Starz-Alcatraz-Sweatpants-Black-2.png?v=1786386754","1","","false","4Starz Alcatraz Sweatpants Black by Corteiz Shop Now","","","","","black","","","","","long","l; s; m; xl; 2xl","","","","","kg","","","active"
"4starz-alcatraz-sweatpants-black-by-corteiz","","","","","","","","","s","","","","","","","","","500.0","","0","deny","manual","115.00","180.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"4starz-alcatraz-sweatpants-black-by-corteiz","","","","","","","","","m","","","","","","","","","500.0","","0","deny","manual","115.00","180.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"4starz-alcatraz-sweatpants-black-by-corteiz","","","","","","","","","xl","","","","","","","","","500.0","","0","deny","manual","115.00","180.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"4starz-alcatraz-sweatpants-black-by-corteiz","","","","","","","","","2xl","","","","","","","","","500.0","","0","deny","manual","115.00","180.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"guerillaz-shorts-navy-by-corteiz","Guerillaz Shorts Navy By Corteiz","Elevate your streetwear game with Guerillaz Shorts in Navy by Corteiz. Crafted for style and comfort, these shorts feature a sleek navy colorway that pairs effortlessly with any casual fit. Built with quality materials and attention to detail, they're perfect for everyday wear or making a statement at the streets. Embrace the bold aesthetic of Corteiz with this essential wardrobe piece.","Corteiz","Apparel & Accessories > Clothing > Shorts > Cargo Shorts","Shorts","Black Cargo, Cargo Shorts","true","Size","s","product.metafields.shopify.size","","","","","","","","500.0","","0","deny","manual","104.00","157.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/Corteiz-Guerillaz-Shorts-Navy.png?v=1786386663","1","","false","Guerillaz Shorts Navy By Corteiz - Order Now","","","","","navy","","","","","","s; m; l; xl; 2xl","","","","","kg","","","active"
"guerillaz-shorts-navy-by-corteiz","","","","","","","","","m","","","","","","","","","500.0","","0","deny","manual","104.00","157.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"guerillaz-shorts-navy-by-corteiz","","","","","","","","","l","","","","","","","","","500.0","","0","deny","manual","104.00","157.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"guerillaz-shorts-navy-by-corteiz","","","","","","","","","xl","","","","","","","","","500.0","","0","deny","manual","104.00","157.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"guerillaz-shorts-navy-by-corteiz","","","","","","","","","2xl","","","","","","","","","500.0","","0","deny","manual","104.00","157.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"soho-yacht-club-crtz-cap-brand-by-corteiz","Soho Yacht Club Crtz Cap Brand by Corteiz","Elevate your streetwear game with the Soho Yacht Club Crtz Cap by Corteiz. This premium cap combines classic yacht club aesthetics with contemporary street style, featuring the iconic Crtz branding that defines","Corteiz","Apparel & Accessories > Clothing Accessories > Hats > Baseball Caps","hat","black hat, corteiz hat, grey hat, Hat, white hat","true","Title","Default Title","","","","","","","","","200.0","","0","deny","manual","85.00","133.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/New-Project-3.png?v=1786386609","1","","false","Soho Yacht Club Crtz Cap Brand by Corteiz Buy Now","","","","","gray","","","","","","","","","","","kg","","","active"
"guerillaz-21-shorts-black-yellow-by-corteiz","Guerillaz 21′ Shorts Black/ Yellow By Corteiz","Elevate your streetwear game with the Guerillaz 21′ Shorts in striking Black and Yellow by Corteiz. Designed for those who demand bold style and comfort, these shorts feature a contemporary cut that works seamlessly from street to casual settings. The contrasting color-block design makes a statement while the quality construction ensures durability through everyday wear. Perfect for collectors of authentic urban fashion and anyone seeking standout pieces that reflect current streetwear culture.","Corteiz","Apparel & Accessories > Clothing > Shorts > Short Trousers","Cargo","Black Cargo, Black shorts","true","Size","s","product.metafields.shopify.size","","","","","","","","500.0","","0","deny","manual","108.00","168.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/Corteiz-Guerillaz-21_E2_80_B2-Shorts-Black-Yellow.png?v=1786386536","1","","false","Guerillaz 21′ Shorts Black/ Yellow By Corteiz - Shop now","","","","","geometric","","","","","","s; m; l; xl; 2xl","","","","","kg","","","active"
"guerillaz-21-shorts-black-yellow-by-corteiz","","","","","","","","","m","","","","","","","","","500.0","","0","deny","manual","108.00","168.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"guerillaz-21-shorts-black-yellow-by-corteiz","","","","","","","","","l","","","","","","","","","500.0","","0","deny","manual","108.00","168.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"guerillaz-21-shorts-black-yellow-by-corteiz","","","","","","","","","xl","","","","","","","","","500.0","","0","deny","manual","108.00","168.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"guerillaz-21-shorts-black-yellow-by-corteiz","","","","","","","","","2xl","","","","","","","","","500.0","","0","deny","manual","108.00","168.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"wing-trucker-hat-black-red-white-by-corteiz","Wing Trucker Hat Black/Red/White by Corteiz","Elevate your streetwear game with the Wing Trucker Hat by Corteiz. Featuring a bold, iconic wing design across the front, this trucker hat combines classic mesh paneling","Corteiz","Apparel & Accessories > Clothing Accessories > Hats > Trucker Hats","hat","black hat, corteiz hat, grey hat, Hat, white hat","true","Title","Default Title","","","","","","","","","0.0","","0","deny","manual","81.00","122.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/New-Project-2.png?v=1786386516","1","","false","Wing Trucker Hat Black/Red/White by Corteiz Buy Now","","","","","black","","","","","","","","","","","kg","","","active"
"trucker-hat-white-by-corteiz","Trucker Hat White by Corteiz","Classic trucker hat in crisp white from Corteiz. Features a structured six-panel crown with breathable mesh back panels for all-day comfort. The curved bill provides sun protection while the adjustable snapback closure ensures a perfect fit for any head size. Lightweight and versatile, this hat pairs effortlessly with casual streetwear or everyday outfits. Perfect for outdoor activities, travel, or adding a laid-back edge to your wardrobe.","Corteiz","Apparel & Accessories > Clothing Accessories > Hats > Trucker Hats","hat","black hat, corteiz hat, grey hat, Hat, white hat","true","Title","Default Title","","","","","","","","","500.0","","0","deny","manual","89.00","145.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/New-Project-2-1.png?v=1786386391","1","","false","Trucker Hat White by Corteiz Shop Now","","","","","white","","","adjustable-fit","","","","","","","","kg","","","active"
"guerillaz-21-cargo-shorts-black-by-corteiz","Guerillaz 21′ Cargo Shorts Black By Corteiz","Guerillaz 21′ Cargo Shorts in classic black by Corteiz. These streetwear essentials feature multiple cargo pockets for practical storage and a relaxed fit that works with any casual wardrobe. Built with quality construction and authentic Corteiz branding, they're designed for comfort and style. Perfect for everyday wear or making a statement with contemporary urban fashion.","Corteiz","Apparel & Accessories > Clothing > Shorts > Cargo Shorts","Shorts","Black shorts, Corteiz Cargo Shorts","true","Size","s","product.metafields.shopify.size","","","","","","","","500.0","","0","deny","manual","102.00","156.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/Corteiz-Guerillaz-Cargo-Shorts-Black-1.png?v=1786386312","1","","false","Guerillaz 21′ Cargo Shorts Black By Corteiz - Shop Now","","","","","black","","","","","","s; m; l; xl; 2xl","","","","","kg","","","active"
"guerillaz-21-cargo-shorts-black-by-corteiz","","","","","","","","","m","","","","","","","","","500.0","","0","deny","manual","102.00","156.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/Corteiz-Guerillaz-Cargo-Shorts-Black-2.png?v=1786386325","2","","","","","","","","","","","","","","","","","","","kg","","",""
"guerillaz-21-cargo-shorts-black-by-corteiz","","","","","","","","","l","","","","","","","","","500.0","","0","deny","manual","102.00","156.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"guerillaz-21-cargo-shorts-black-by-corteiz","","","","","","","","","xl","","","","","","","","","500.0","","0","deny","manual","102.00","156.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"guerillaz-21-cargo-shorts-black-by-corteiz","","","","","","","","","2xl","","","","","","","","","500.0","","0","deny","manual","102.00","156.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"trucker-hat-sunset-by-corteiz","Trucker Hat Sunset by Corteiz","Elevate your streetwear game with the Trucker Hat Sunset by Corteiz. Featuring a classic trucker silhouette with breathable mesh paneling, this cap combines comfort with bold style. The structured front panels showcase Corteiz's signature aesthetic, while the adjustable snapback closure ensures the","Corteiz","Apparel & Accessories > Clothing Accessories > Hats > Trucker Hats","hat","black hat, corteiz hat, grey hat, Hat, white hat","true","Title","Default Title","","","","","","","","","600.0","shopify","0","deny","manual","79.90","109.80","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/New-Project-9.png?v=1786386306","1","","false","Trucker Hat Sunset by Corteiz Buy Now","","","","","yellow","","","","","","","","","","","kg","","","active"
"aufentic-shorts-grey-by-corteiz","Aufentic Shorts Grey By Corteiz","Authentic Corteiz shorts in sleek grey, designed for contemporary style and comfort. Crafted with quality materials, these shorts deliver a modern aesthetic perfect for casual wear or streetwear enthusiasts. The versatile grey tone pairs effortlessly with any wardrobe, while the thoughtful construction ensures durability through regular wear. Ideal for those seeking genuine Corteiz pieces that combine functionality with on-trend design.","Corteiz","Apparel & Accessories > Clothing > Shorts > Jogger Shorts","Shorts","COrteiz Shorts","true","Size","s","product.metafields.shopify.size","","","","","","","","500.0","","0","deny","manual","99.00","167.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/Corteiz-Aufentic-Shorts.png?v=1786386153","1","","false","Aufentic Shorts Grey By Corteiz - Order Now","","","","","gray","","","","","","s; m; l; xl; 2xl","","","","","kg","","","active"
"aufentic-shorts-grey-by-corteiz","","","","","","","","","m","","","","","","","","","500.0","","0","deny","manual","99.00","167.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"aufentic-shorts-grey-by-corteiz","","","","","","","","","l","","","","","","","","","500.0","","0","deny","manual","99.00","167.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"aufentic-shorts-grey-by-corteiz","","","","","","","","","xl","","","","","","","","","500.0","","0","deny","manual","99.00","167.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"aufentic-shorts-grey-by-corteiz","","","","","","","","","2xl","","","","","","","","","500.0","","0","deny","manual","99.00","167.00","true","false","","","","","","","","","","","","","","","","","","","","","","","","","","kg","","",""
"trucker-hat-red-by-corteiz","Trucker Hat Red by Corteiz","Classic trucker hat in bold red, designed by Corteiz. Features a structured six-panel crown with breathable mesh back panels for all-day comfort. The curved bill provides sun protection while the adjustable snapback closure ensures a perfect fit for any head size. Perfect for casual streetwear styling or outdoor activities. Durable construction built to last through","Corteiz","Apparel & Accessories > Clothing Accessories > Hats > Trucker Hats","hat","black hat, corteiz hat, grey hat, Hat, white hat","true","Title","Default Title","","","","","","","","","500.0","","0","deny","manual","84.00","143.00","true","false","","","","","","https://cdn.shopify.com/s/files/1/0743/1271/2262/files/New-Project-3-2.png?v=1786386213","1","","false","Trucker Hat Red by Corteiz Buy Now","","","","","red","mesh","","adjustable-fit","","","","","","","","kg","","","active"
